379.587616   65.880798   0   [29306, 8582, 23258]
341.295502   65.940323   1   [23258, 27293, 23260]
299.298615   65.752724   2   [23258, 27293, 23260]
264.209625   65.773811   3   [11180, 27303, 23258]
234.920486   65.581451   4   [11180, 27303, 22973]
218.329712   65.351227   5   [11180, 27303, 22973]
213.112045   65.228676   6   [11180, 22973, 27303]
212.293106   65.153542   7   [11180, 22973, 22975]
217.322083   65.466629   8   [22973, 22975, 31618]
222.861404   65.699524   9   [22975, 31618, 22973]
229.211792   65.576515   10   [22983, 29035, 22975]
232.281693   65.647903   11   [29035, 29346, 27017]
236.768433   65.699234   12   [29035, 29346, 23602]
243.343445   65.744232   13   [29035, 23602, 29346]
252.476028   65.860611   14   [23602, 29035, 29346]
262.031525   65.994736   15   [23602, 29035, 29346]
268.914886   66.148674   16   [23602, 29346, 29035]
270.872833   66.419807   17   [23602, 11846, 29346]
273.312195   66.444733   18   [11846, 23602, 29346]
275.206299   66.388680   19   [11846, 23602, 11861]
273.001892   66.202721   20   [11846, 11862, 11861]
267.027252   66.194153   21   [11846, 20152, 23634]
257.417755   66.219986   22   [11846, 20152, 23634]
246.416763   66.240852   23   [11846, 20152, 29055]
234.146469   66.295479   24   [11846, 20152, 29055]
219.958496   66.366699   25   [20152, 29055, 32016]
204.416214   66.403030   26   [29055, 20152, 32209]
189.348022   66.428955   27   [29055, 20152, 31960]
177.046555   66.330467   28   [29055, 20152, 31960]
168.311707   66.481445   29   [29055, 20152, 33979]
160.423508   66.612419   30   [29055, 30504, 31956]
147.369614   66.575180   31   [29055, 31956, 31957]
138.350418   66.483261   32   [29055, 31956, 31957]
134.107742   66.468971   33   [29055, 31956, 32209]
132.257156   66.491676   34   [29055, 31956, 32209]
131.406738   66.495682   35   [31956, 29055, 31957]
129.617783   66.449379   36   [31956, 32209, 29055]
129.187393   66.342697   37   [31956, 29055, 31957]
127.995178   66.442734   38   [31956, 31957, 29055]
127.913147   66.623055   39   [29055, 31957, 31956]
128.322647   66.616592   40   [31956, 29055, 32523]
129.313522   66.581467   41   [31963, 31956, 29055]
129.822968   66.554771   42   [33979, 29055, 31963]
129.764450   66.615227   43   [32249, 26767, 29055]
127.095894   66.813240   44   [33981, 25914, 26767]
129.027161   66.696442   45   [31956, 29055, 32249]
128.626297   66.675285   46   [32252, 31968, 31957]
128.713211   66.644791   47   [25917, 33979, 28204]
131.869095   66.473495   48   [29055, 33979, 25917]
132.700546   66.312889   49   [33981, 31963, 25914]
133.073700   66.170761   50   [31963, 26767, 31967]
134.565353   66.269516   51   [31963, 25624, 31968]
133.573563   66.379021   52   [25624, 25625, 31967]
131.093277   66.383789   53   [31967, 25625, 25624]
127.044891   66.245628   54   [31967, 31968, 25625]
126.710121   66.447868   55   [31968, 31956, 25625]
128.637421   66.373650   56   [25626, 31956, 31968]
129.711746   66.307594   57   [25626, 25625, 32249]
129.683884   66.283562   58   [25626, 25625, 25914]
127.264923   66.264320   59   [32249, 32269, 25626]
124.494240   66.297905   60   [32249, 25624, 25625]
124.571358   66.164856   61   [25625, 32249, 25626]
122.099602   66.150169   62   [31956, 32252, 32269]
119.576630   66.300980   63   [32252, 31957, 33979]
120.289040   66.262535   64   [32269, 33979, 32249]
120.223877   66.335136   65   [32269, 32523, 33981]
121.439796   66.283760   66   [32269, 32249, 31960]
122.029152   66.209923   67   [32269, 25626, 32249]
122.745003   66.148827   68   [23913, 32269, 25062]
121.788979   66.152321   69   [32269, 25625, 23915]
121.727844   66.169136   70   [32269, 31963, 25062]
124.252571   66.248848   71   [32269, 31963, 25626]
125.360168   66.276718   72   [32269, 31963, 32307]
124.979065   66.213921   73   [32269, 25626, 25625]
124.787865   66.233437   74   [32269, 25626, 31967]
129.165726   66.207481   75   [32269, 33979, 31967]
130.230759   66.098518   76   [32269, 25062, 25625]
131.325027   66.275650   77   [25062, 25626, 32269]
133.289749   66.065788   78   [25624, 26802, 25625]
141.569351   66.026077   79   [25625, 25624, 25626]
142.887878   66.024429   80   [25626, 25625, 22748]
145.476303   66.190521   81   [25626, 25625, 25624]
144.286057   66.074036   82   [25626, 25625, 25624]
143.360687   66.044647   83   [25626, 25625, 25624]
143.040207   66.328148   84   [25626, 25625, 26802]
144.959610   66.355324   85   [25626, 23327, 26802]
147.057617   66.234154   86   [34004, 25626, 25625]
145.442184   66.389053   87   [25626, 32277, 34004]
146.299850   66.337852   88   [23915, 26800, 34006]
145.900009   66.377235   89   [32269, 23915, 22459]
141.541214   66.369804   90   [32269, 22459, 32523]
132.744873   66.274521   91   [32269, 32307, 32277]
134.526581   65.977684   92   [32307, 32269, 32277]
134.077591   66.056717   93   [32307, 32269, 26811]
134.876846   66.293884   94   [32307, 32297, 25626]
137.315430   66.200073   95   [32307, 24249, 25626]
139.275558   66.458031   96   [32307, 23021, 34023]
142.391403   66.463509   97   [24249, 32307, 26802]
140.959305   66.461189   98   [32301, 30298, 24249]
142.949356   66.602112   99   [34025, 27394, 24249]
144.957352   66.544144   100   [32016, 24249, 27394]
144.015808   66.511528   101   [32016, 24237, 27394]
145.465149   66.595703   102   [32016, 27394, 24237]
148.197845   66.535309   103   [32016, 27394, 24237]
149.947372   66.242561   104   [27394, 21636, 24237]
152.947830   66.225098   105   [27394, 21636, 24237]
